Mageplaza,Mageplaza
"We can't add the item to your cart.","Við getum ekki bætt vörunni í körfuna.",module,Magento_AdvancedCheckout
"Please enter an actual number in the ""Qty"" field.","Vinsamlega setjið tölu í ""Magn"" reitinn.",module,Magento_AdvancedCheckout
"This product is assigned to another website.","Þessi vara fylgir öðum vef.",module,Magento_AdvancedCheckout
"You can add only enabled products.","Þú getur aðeins bætt við virkum vörum.",module,Magento_AdvancedCheckout
"You cannot upload this file.","Þú getur ekki hlaðið upp þessari skrá.",module,Magento_AdvancedCheckout
"The file is empty.","Skráin er tóm.",module,Magento_AdvancedCheckout
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Þú hefur ekki sett inn vörunúmer. Vinsamlega <a href=""%1"">smelltu hér</a> til að bæta við vöru(m) eftir vörunúmeri.",module,Magento_AdvancedCheckout
"You have not entered a product SKU.","Þú er ekki búinn að setja inn vörunúmer.",module,Magento_AdvancedCheckout
"We can't add a product to cart by id ""%1"".","Við getum ekki bætt við vöru eftir id ""%1"".",module,Magento_AdvancedCheckout
"Something went wrong while reordering this product.","Eitthvað misfórs við endur pöntun á þessari vöru.",module,Magento_AdvancedCheckout
"We can't find this wish list.","Þessi óskalisti finnst ekki.",module,Magento_AdvancedCheckout
"You added %1 product to your shopping cart.","Þú bættir %1 vöru í körfuna þína.",module,Magento_AdvancedCheckout
"You added %1 products to your shopping cart.","Þú bættir %1 vörum í körfuna þína.",module,Magento_AdvancedCheckout
"%1 product requires your attention.","%1 vara þarfnast athygli þinnar.",module,Magento_AdvancedCheckout
"%1 products require your attention.","%1 vörur þarfnast athygli þinnar.",module,Magento_AdvancedCheckout
"Yes, for Specified Customer Groups","Já, fyrir tilgreinda viðskiptahópa",module,Magento_AdvancedCheckout
"Yes, for Everyone","Já, fyrir alla",module,Magento_AdvancedCheckout
"No","Nei",module,Magento_AdvancedCheckout
"The file is corrupt.","Skráin er skemmd.",module,Magento_AdvancedCheckout
"Please upload the file in .csv format.","Vinsamlega hladdu upp skránni í .csv formi.",module,Magento_AdvancedCheckout
"%1 item(s) need your attention.","%1 vara(örur) þarfnast athygli þinnar.",module,Magento_AdvancedCheckout
"Apply Coupon Code","Virkja afsláttar kóða",module,Magento_AdvancedCheckout
"Remove Coupon Code","Fjarlægja  afsláttar kóða",module,Magento_AdvancedCheckout
"Remove","Fjarlægja",module,Magento_AdvancedCheckout
"The coupon code ""%1"" is not valid.","Afsáttar kóðinn ""%1"" er ógildur.",module,Magento_AdvancedCheckout
"Shopping Cart Items","Vörur í körfu",module,Magento_AdvancedCheckout
"Qty","Magn",module,Magento_AdvancedCheckout
"Subtotal","Samtala",module,Magento_AdvancedCheckout
"Discount","Afsláttur",module,Magento_AdvancedCheckout
"Row Subtotal","Samtala raðar",module,Magento_AdvancedCheckout
"Action","Aðgerð",module,Magento_AdvancedCheckout
"No ordered items","Fjöldi vara í pöntun",module,Magento_AdvancedCheckout
"Total %1 product(s)","Samtals %1 vörur",module,Magento_AdvancedCheckout
"Subtotal:","Samtala:",module,Magento_AdvancedCheckout
"Please select","Vinsamlega veljið",module,Magento_AdvancedCheckout
"Move to Wish List","Færa á óskalista",module,Magento_AdvancedCheckout
"No item specified.","engin vara tilgreind.",module,Magento_AdvancedCheckout
"Are you sure you want to remove this item?","Ertu viss um að þú viljir fjarlægja þessa vöru?",module,Magento_AdvancedCheckout
"SKU number","Vörunúmer",module,Magento_AdvancedCheckout
"Upload File","Hlaðaupp skrá",module,Magento_AdvancedCheckout
"Your csv file must include ""sku"" and ""qty"" columns.","CSV skráin þín þarf að innihalda ""vörunúmer"" og ""magn"" dálka.",module,Magento_AdvancedCheckout
"Reset","Endursetja",module,Magento_AdvancedCheckout
"SKU: ","Vörunr.: ",module,Magento_AdvancedCheckout
"Only <span id=""%1_max_allowed"">%2</span> in stock","aðeins <span id=""%1_max_allowed"">%2</span> á lager",module,Magento_AdvancedCheckout
"Item","Vara",module,Magento_AdvancedCheckout
"See price before order confirmation.","Sjá verð fyrir staðfestingu pöntunar.",module,Magento_AdvancedCheckout
"What's this?","Hvað er þetta?",module,Magento_AdvancedCheckout
"Incl. Tax","m.VSK",module,Magento_AdvancedCheckout
"Excl. Tax","án VSK",module,Magento_AdvancedCheckout
"Edit item parameters","Breyta eigindum vöru",module,Magento_AdvancedCheckout
"Edit","Breyta",module,Magento_AdvancedCheckout
"Remove item","Fjarlægja hlut",module,Magento_AdvancedCheckout
"Products Requiring Attention","Vörur þarfnast athygli",module,Magento_AdvancedCheckout
"Add to Cart","Bæta í körfu",module,Magento_AdvancedCheckout
"Sku","Vörunúmer",module,Magento_AdvancedCheckout
"File","Skrá",module,Magento_AdvancedCheckout
"File extensions allowed: .csv","Leyfða skráar endingar: .csv",module,Magento_AdvancedCheckout
"Add Row","Bæta við línu",module,Magento_AdvancedCheckout
"Remove Row","Fjarlægja línu",module,Magento_AdvancedCheckout
"Add Products By SKU","Add Products By SKU",module,Magento_AdvancedCheckout
"Shopping Cart Management","Shopping Cart Management",module,Magento_AdvancedCheckout
"View Shopping Cart","Sýna körfu",module,Magento_AdvancedCheckout
"View and modify Shopping Cart","Skoða og breyta körfu",module,Magento_AdvancedCheckout
"Order by SKU Settings","Stilla pöntun eftir vörunúmeri ",module,Magento_AdvancedCheckout
"Enable Order by SKU on My Account in Storefront","Virkja panta eftir vörunúmeri á Mínum aðgang",module,Magento_AdvancedCheckout
"Customer Groups","Viðskiptahópar",module,Magento_AdvancedCheckout
"Apply Coupon","Nota afsláttarmiða",module,Magento_AdvancedCheckout
"Order by SKU Description","Lýsing pöntunar eftir vörunúmeri",module,Magento_AdvancedCheckout
"Display a Link to Loading a Spreadsheet","Sýna hlekk á að lesainn töflu skjal",module,Magento_AdvancedCheckout
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Skilgreinir hvort hlekkur á Minn aðgagnur &gt; Panta erftir vörunúmeri verði birtir í tólinu",module,Magento_AdvancedCheckout
"Link Text","Texti hlekks",module,Magento_AdvancedCheckout
"The text of the link to the My Account &gt; Order by SKU page","Texti hlekkur á Minn aðgagnur &gt; Panta erftir vörunúmeri síðu",module,Magento_AdvancedCheckout
